dt,RightFoot_px,RightFoot_py,RightFoot_pz,RightFoot_rx,RightFoot_ry,RightFoot_rz,LeftFoot_px,LeftFoot_py,LeftFoot_pz,LeftFoot_rx,LeftFoot_ry,LeftFoot_rz,
0.021676,1.344075,0.1093317,-0.04367471,359.9225,92.74892,90.4926,1.377753,0.106001,0.1039746,1.336564,81.63464,88.48326,
0.0227932,1.344085,0.1093354,-0.04358435,359.9235,92.74559,90.50266,1.377861,0.1059597,0.10404,1.336026,81.62706,88.48909,
0.0223299,1.344194,0.1093032,-0.04354405,359.927,92.76388,90.49512,1.377872,0.1058361,0.1040827,1.339047,81.62356,88.49364,
0.0231036,1.344527,0.1095724,-0.04364395,359.9282,92.74893,90.50565,1.377936,0.1058093,0.1040684,1.338735,81.62579,88.49816,
0.0216847,1.344214,0.10947,-0.04366398,359.9281,92.7586,90.50916,1.378016,0.1058204,0.1041,1.338166,81.63504,88.4903,
0.0219102,1.344094,0.109401,-0.04364467,359.9259,92.7592,90.50581,1.378043,0.1058939,0.1040944,1.360741,81.64206,88.49854,
0.0225352,1.344078,0.1093603,-0.04374933,359.9311,92.75892,90.51076,1.377967,0.1059691,0.1040282,1.363042,81.64436,88.50471,
0.0234251,1.344072,0.1092945,-0.04369593,359.9172,92.75214,90.50649,1.377834,0.1059613,0.104058,1.34817,81.63409,88.504,
0.0203117,1.344194,0.1093532,-0.04367042,359.9248,92.76026,90.50802,1.378042,0.1058244,0.1040374,1.334882,81.62879,88.49711,
0.0231143,1.34422,0.1093518,-0.04367948,359.9174,92.75536,90.50928,1.378035,0.1058006,0.1041416,1.333467,81.62827,88.50593,
0.0220514,1.344192,0.1092657,-0.04366982,359.9246,92.76023,90.50643,1.377962,0.1057511,0.1041036,1.348903,81.62495,88.50124,
0.0226415,1.344139,0.1093127,-0.04367304,359.9156,92.76257,90.51115,1.377959,0.1057551,0.1041238,1.348723,81.62136,88.50489,
0.0224262,1.344057,0.109403,-0.04369557,359.912,92.75151,90.5146,1.377983,0.1058698,0.1040696,1.344323,81.62234,88.49929,
0.0210209,1.344233,0.1094007,-0.04365921,359.9191,92.75471,90.51243,1.377932,0.1058596,0.1039865,1.348641,81.61811,88.50772,
0.0227717,1.344254,0.1093383,-0.04368782,359.9218,92.76141,90.50653,1.377971,0.1058905,0.1039574,1.34419,81.6188,88.51241,
0.0217048,1.344361,0.1092737,-0.04365981,359.9299,92.76892,90.49361,1.378035,0.1058845,0.1040156,1.362539,81.61849,88.52939,
0.0233755,1.344193,0.1093144,-0.04372597,359.924,92.77261,90.49827,1.378014,0.1058854,0.1039871,1.356763,81.61524,88.53345,
0.0217172,1.344205,0.1093187,-0.04365861,359.9268,92.77,90.50066,1.377952,0.105913,0.1040865,1.352336,81.61497,88.53223,
0.0166792,1.34424,0.1093643,-0.0436672,359.9216,92.76768,90.50595,1.377961,0.1059449,0.1040516,1.352378,81.61198,88.52531,
0.0152665,1.344255,0.1093423,-0.04363656,359.929,92.77296,90.484,1.377999,0.1059596,0.1040956,1.353024,81.62391,88.5223,
0.0176995,1.344285,0.1093453,-0.04360509,359.9244,92.77404,90.48516,1.378056,0.1057516,0.1041137,1.34798,81.62255,88.52407,
0.0168111,1.344237,0.1093031,-0.04364121,359.9306,92.77431,90.49077,1.378006,0.1057936,0.1040826,1.343963,81.6251,88.51974,
