AverageFeet;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left
MW;2023/03/06_14:06:06.463;0.6763611;0.2701236;0.9458393;0.7341875;0.1017602;-5.960464E-08;0.4871958;0;0;0;0.1668868;1.531743;0.2508815;26.55485;11.602;359.8933;0.3646196;0;0;0;0;0;0;0.0951581;0.1402266;-0.2738026;270.4656;252.9154;125.979;0.04564667;0.1351712;0.02724719;273.3417;45.46293;325.2553;-0.325652;0.0951581;0.1402266;-0.2738026;270.4656;252.9154;125.979;-0.3545006;0;0;0;0;0;0;-44.54903;0;14.78531;0;True;;False;True;False;True;left;left;;0.2451619;0.4114821;0.5691656;
MW;2023/03/06_14:06:06.463;0.6985664;0.2671092;0.9460187;0.7419987;0.1031448;-5.960464E-08;0.492386;0;0;0;0.1623648;1.532404;0.2534791;26.43954;11.64903;0.02540092;0.3749338;0;0;0;0;0;0;0.09457052;0.1459801;-0.2822361;271.1206;168.6136;210.7747;0.04641604;0.1327591;0.01951838;273.6863;18.16669;351.848;-0.3998281;0.09457052;0.1459801;-0.2822361;271.1206;168.6136;210.7747;-0.1945705;0;0;0;0;0;0;-45.03756;0;14.69999;0;True;;False;True;False;True;left;left;;0.2393413;0.4088178;0.5485475;
MW;2023/03/06_14:06:06.463;0.720871;0.2638444;0.9464567;0.7498474;0.1044518;-5.960464E-08;0.4974524;0;0;0;0.1576176;1.533514;0.2562985;26.16896;11.71167;359.9397;0.3770775;0;0;0;0;0;0;0.09529603;0.1551073;-0.2895101;276.1752;14.80071;4.796407;0.0486728;0.1318855;0.01222205;272.8534;32.76569;336.3987;-0.4093169;0.09529603;0.1551073;-0.2895101;276.1752;14.80071;4.796407;-0.2990798;0;0;0;0;0;0;-45.51328;0;14.36919;0;True;;False;True;False;True;left;left;;0.233958;0.4056506;0.5301813;
MW;2023/03/06_14:06:06.463;0.7430458;0.260234;0.9471792;0.7577164;0.105692;-5.960464E-08;0.5023714;0;0;0;0.1526583;1.535329;0.259366;25.99586;11.66162;359.9042;0.3911581;0;0;0;0;0;0;0.08736527;0.1728113;-0.2940414;280.1004;13.18069;6.428442;0.0481782;0.1313822;0.00814271;273.2621;349.0495;19.31151;-0.2318554;0.08736527;0.1728113;-0.2940414;280.1004;13.18069;6.428442;-0.1617714;0;0;0;0;0;0;-45.97842;0;14.01009;0;True;;True;True;False;True;left;left;;0.2249537;0.4031777;0.4966372;
MW;2023/03/06_14:06:06.463;0.7652588;0.256549;0.9483204;0.7656815;0.1068837;-5.960464E-08;0.5069943;0;0;0;0.1480188;1.538288;0.2625714;25.89176;11.65197;-0.003262316;0.3983464;0;0;0;0;0;0;0.08511519;0.1873012;-0.2994108;283.1491;15.15021;4.988971;0.04712939;0.1341815;0.005616426;272.5575;10.25983;358.7044;-0.1143575;0.08511519;0.1873012;-0.2994108;283.1491;15.15021;4.988971;-0.1806105;0;0;0;0;0;0;-46.42146;0;14.54591;0;True;;True;True;False;True;left;left;;0.2112143;0.384487;0.4603703;
MW;2023/03/06_14:06:06.463;0.7874565;0.2533056;0.949985;0.7736416;0.1080201;-5.960464E-08;0.5113714;0;0;0;0.143565;1.54156;0.2660772;25.58501;11.64606;0.01390211;0.3761391;0;0;0;0;0;0;0.08162975;0.201735;-0.3046482;286.6108;15.44107;4.930723;0.04457545;0.1338987;0.0001168251;271.8128;340.7482;28.05213;-0.1709203;0.08162975;0.201735;-0.3046482;286.6108;15.44107;4.930723;-0.1437286;0;0;0;0;0;0;-46.83894;0;14.57506;0;True;;True;True;False;True;left;left;;0.2002985;0.3589718;0.4422221;
MW;2023/03/06_14:06:06.463;0.8097305;0.2497987;0.9514209;0.7811357;0.1091188;-5.960464E-08;0.5155088;0;0;0;0.1389865;1.543869;0.2690969;25.04363;11.51183;359.7908;0.3753571;0;0;0;0;0;0;0.08562398;0.2376337;-0.3022628;297.2086;22.18548;359.1622;0.04505789;0.1293583;0.00416398;272.3163;233.3642;136.0214;0.3709351;0.08562398;0.2376337;-0.3022628;297.2086;22.18548;359.1622;-0.2278692;0;0;0;0;0;0;-47.23252;0;14.95504;0;True;;True;True;False;True;left;left;;0.1915314;0.3449013;0.4212245;
MW;2023/03/06_14:06:06.463;0.8319435;0.246449;0.952471;0.7881221;0.1102544;-5.960464E-08;0.5199088;0;0;0;0.1346187;1.545897;0.2716979;24.98638;11.36304;359.65;0.3469587;0;0;0;0;0;0;0.08713031;0.261605;-0.2985437;299.361;21.50583;359.5609;0.04604459;0.1282098;0.004262686;278.6556;13.169;355.4952;-0.8145766;0.08713031;0.261605;-0.2985437;299.361;21.50583;359.5609;0.8316701;0;0;0;0;0;0;-47.62276;0;14.41576;0;True;;True;False;False;True;left;left;;0.2097985;0.3774092;0.4617847;
MW;2023/03/06_14:06:06.463;0.8540764;0.2433346;0.9533182;0.7947122;0.1114056;-5.960464E-08;0.5242849;0;0;0;0.1304109;1.547075;0.2732777;25.08119;11.40418;359.6657;0.3449979;0;0;0;0;0;0;0.09123898;0.2864363;-0.288087;301.8756;17.41961;3.32251;0.04775369;0.1302299;0.009454727;272.1323;315.4105;53.29269;0.3127494;0.09123898;0.2864363;-0.288087;301.8756;17.41961;3.32251;-0.2073359;0;0;0;0;0;0;-48.0376;0;14.51297;0;True;;True;False;False;True;right;right;;0.20174;0.3660095;0.4409504;
MW;2023/03/06_14:06:06.463;0.8763924;0.2404458;0.9537352;0.8002419;0.1126017;-5.960464E-08;0.5288554;0;0;0;0.1264306;1.54781;0.2740075;25.28417;11.31731;359.7892;0.2913325;0;0;0;0;0;0;0.09790611;0.3083143;-0.2718327;302.9208;16.01822;4.511298;0.04687941;0.1299472;0.007017612;272.0445;324.24;44.83878;0.1393048;0.09790611;0.3083143;-0.2718327;302.9208;16.01822;4.511298;-0.3403465;0;0;0;0;0;0;-48.4539;0;14.70885;0;True;;True;False;False;True;left;left;;0.2102216;0.4182988;0.4225878;
