dt,leftfoot_px,leftfoot_py,leftfoot_pz,leftfoot_rx,leftfoot_ry,leftfoot_rz,rightfoot_px,rightfoot_py,rightfoot_pz,rightfoot_rx,rightfoot_ry,rightfoot_rz,hip_px,hip_py,hip_pz,hip_rx,hip_ry,hip_rz,direction_px,direction_py,direction_pz,direction_rx,direction_ry,direction_rz,head_px,head_py,head_pz,head_rx,head_ry,head_rz,
0.0111435,0.2197529,0.1409085,-0.485779,272.5989,358.1569,6.24117,0.3969338,0.1368763,-0.5315831,273.1014,210.6164,167.9066,0,0,0,0,0,0,0.3607707,7.450581E-08,-0.2208804,0,355.3393,0,0,0,0,0,0,0,
0.0278292,0.2197591,0.1409051,-0.4857296,272.5936,358.1375,6.254251,0.3969736,0.1369648,-0.5314232,273.0941,210.575,167.9484,0,0,0,0,0,0,0.3607403,7.450581E-08,-0.2208222,0,355.3353,0,0,0,0,0,0,0,
0.0055308,0.2198974,0.1409268,-0.4858408,272.5847,358.3696,6.01772,0.3965856,0.1374416,-0.5301064,273.0781,211.1135,167.4053,0,0,0,0,0,0,0.3608431,7.450581E-08,-0.2207048,0,355.3255,0,0,0,0,0,0,0,
0.0052474,0.2198974,0.1409268,-0.4858408,272.5847,358.3696,6.01772,0.3965856,0.1374416,-0.5301064,273.0781,211.1135,167.4053,0,0,0,0,0,0,0.3608431,7.450581E-08,-0.2207048,0,355.3255,0,0,0,0,0,0,0,
0.0056532,0.2199112,0.1409132,-0.4858148,272.586,358.4781,5.907327,0.3965486,0.1374581,-0.5300421,273.0792,211.2033,167.3105,0,0,0,0,0,0,0.3607996,7.450581E-08,-0.2206849,0,355.3095,0,0,0,0,0,0,0,
0.0112939,0.2198689,0.1408846,-0.486237,272.5664,358.4975,5.879653,0.3966781,0.1372991,-0.5298964,273.0798,211.0652,167.4565,0,0,0,0,0,0,0.3607885,7.450581E-08,-0.2206499,0,355.3059,0,0,0,0,0,0,0,
0.0109936,0.2197828,0.1409857,-0.4864206,272.5566,358.406,5.973611,0.3966804,0.1372907,-0.5299193,273.0796,211.183,167.3312,0,0,0,0,0,0,0.3607505,7.450581E-08,-0.2205441,0,355.2932,0,0,0,0,0,0,0,
0.0109483,0.2197939,0.1409547,-0.4864607,272.5584,358.4164,5.960956,0.39667,0.1372998,-0.5298516,273.0785,211.0918,167.4244,0,0,0,0,0,0,0.3606843,7.450581E-08,-0.2204387,0,355.2769,0,0,0,0,0,0,0,
0.0112415,0.2197217,0.1410732,-0.4862179,272.571,358.4176,5.9603,0.3966526,0.1373262,-0.5297863,273.0844,211.1151,167.4039,0,0,0,0,0,0,0.3605989,7.450581E-08,-0.220307,0,355.2528,0,0,0,0,0,0,0,
0.0111265,0.219725,0.1410646,-0.4862132,272.5731,358.4777,5.902948,0.3968546,0.1372669,-0.530295,273.0837,211.0816,167.4377,0,0,0,0,0,0,0.3605492,7.450581E-08,-0.2202113,0,355.2339,0,0,0,0,0,0,0,
0.0111656,0.2196375,0.1411827,-0.4858594,272.5796,358.392,5.984918,0.3968352,0.1372962,-0.5302633,273.077,211.0277,167.4965,0,0,0,0,0,0,0.3604615,7.450581E-08,-0.220162,0,355.2305,0,0,0,0,0,0,0,
0.0109387,0.2197108,0.1412673,-0.4856883,272.5917,358.5629,5.824104,0.3971227,0.1374638,-0.5301864,273.0786,211.0078,167.5179,0,0,0,0,0,0,0.3604057,7.450581E-08,-0.2200322,0,355.2344,0,0,0,0,0,0,0,
0.0112274,0.2197227,0.1412883,-0.48563,272.5843,358.5698,5.824695,0.3971256,0.1374719,-0.5302333,273.0829,210.8484,167.6761,0,0,0,0,0,0,0.3603609,7.450581E-08,-0.2199351,0,355.2208,0,0,0,0,0,0,0,
0.0109675,0.219873,0.1412811,-0.4857162,272.5779,358.5697,5.819501,0.3970827,0.1375277,-0.5302322,273.0757,210.9606,167.5615,0,0,0,0,0,0,0.3603338,7.450581E-08,-0.2198112,0,355.2212,0,0,0,0,0,0,0,
0.0114533,0.2198904,0.1412973,-0.4856761,272.5727,358.6089,5.780401,0.3971971,0.1375487,-0.5304109,273.0959,210.8449,167.676,0,0,0,0,0,0,0.3601727,7.450581E-08,-0.2197358,0,355.2206,0,0,0,0,0,0,0,
0.0274188,0.2199475,0.141089,-0.4859961,272.5685,358.4537,5.933857,0.3972059,0.1375837,-0.530403,273.0902,210.7761,167.7475,0,0,0,0,0,0,0.3600915,7.450581E-08,-0.2196188,0,355.2124,0,0,0,0,0,0,0,
